id1	id2	type
COL1A1	SRPX2	correlation_pair
COL6A3	SRPX2	correlation_pair
AEBP1	SRPX2	correlation_pair
P4HA3	SRPX2	correlation_pair
CDH11	SRPX2	correlation_pair
SPARC	SRPX2	correlation_pair
COL3A1	SRPX2	correlation_pair
NOX4	SRPX2	correlation_pair
LUM	SRPX2	correlation_pair
COL10A1	COL11A1	correlation_pair
FOXA1	MLPH	correlation_pair
GTSE1	SGOL1	correlation_pair
MCM10	SGOL1	correlation_pair
DLGAP5	SGOL1	correlation_pair
NDC80	SGOL1	correlation_pair
ERCC6L	SGOL1	correlation_pair
KIAA1524	SGOL1	correlation_pair
ORC1L	SGOL1	correlation_pair
CDC45	SGOL1	correlation_pair
E2F8	SGOL1	correlation_pair
AURKA	SGOL1	correlation_pair
AURKB	SGOL1	correlation_pair
KIF23	SGOL1	correlation_pair
LMNB1	SGOL1	correlation_pair
MAD2L1	SGOL1	correlation_pair
KIF4A	SGOL1	correlation_pair
KIF14	SGOL1	correlation_pair
KIF20A	SGOL1	correlation_pair
MKI67	SGOL1	correlation_pair
BUB1B	SGOL1	correlation_pair
CDC25C	SGOL1	correlation_pair
DEPDC1	SGOL1	correlation_pair
CDK1	SGOL1	correlation_pair
CEP55	SGOL1	correlation_pair
C15orf42	SGOL1	correlation_pair
BIRC5	SGOL1	correlation_pair
ANLN	SGOL1	correlation_pair
GSG2	SGOL1	correlation_pair
KIFC1	SGOL1	correlation_pair
C12orf48	SGOL1	correlation_pair
ARHGAP11A	SGOL1	correlation_pair
RRM2	SGOL1	correlation_pair
NEIL3	SGOL1	correlation_pair
NCAPH	SGOL1	correlation_pair
FOXM1	SGOL1	correlation_pair
CDCA5	SGOL1	correlation_pair
CDCA8	SGOL1	correlation_pair
NEK2	SGOL1	correlation_pair
NUF2	SGOL1	correlation_pair
CDC25A	SGOL1	correlation_pair
MYBL2	SGOL1	correlation_pair
KIF18A	SGOL1	correlation_pair
KIF18B	SGOL1	correlation_pair
RAD54L	SGOL1	correlation_pair
BLM	SGOL1	correlation_pair
BUB1	SGOL1	correlation_pair
CKAP2L	SGOL1	correlation_pair
IQGAP3	SGOL1	correlation_pair
CCNB2	SGOL1	correlation_pair
CCNB1	SGOL1	correlation_pair
ASPM	SGOL1	correlation_pair
HMMR	SGOL1	correlation_pair
PRC1	SGOL1	correlation_pair
KIF15	SGOL1	correlation_pair
KIF11	SGOL1	correlation_pair
PLK1	SGOL1	correlation_pair
HJURP	SGOL1	correlation_pair
ESPL1	SGOL1	correlation_pair
POLQ	SGOL1	correlation_pair
DEPDC1B	SGOL1	correlation_pair
CCNA2	SGOL1	correlation_pair
NCAPG	SGOL1	correlation_pair
EXO1	SGOL1	correlation_pair
FAM54A	SGOL1	correlation_pair
FAM83D	SGOL1	correlation_pair
CENPI	SGOL1	correlation_pair
CENPF	SGOL1	correlation_pair
CENPE	SGOL1	correlation_pair
CENPA	SGOL1	correlation_pair
RACGAP1	SGOL1	correlation_pair
MELK	SGOL1	correlation_pair
KIF2C	SGOL1	correlation_pair
RAD51AP1	SGOL1	correlation_pair
RAD51	SGOL1	correlation_pair
NUSAP1	SGOL1	correlation_pair
BUB1	SGOL2	correlation_pair
CKAP2L	SGOL2	correlation_pair
FAM171A1	FOXC1	correlation_pair
FOXA1	FOXC1	anticorrelation_pair
DSC3	DSG3	correlation_pair
COL17A1	TP63	correlation_pair
MCM10	ORC6L	correlation_pair
AURKB	ORC6L	correlation_pair
MYBL2	ORC6L	correlation_pair
CCNB2	ORC6L	correlation_pair
HJURP	ORC6L	correlation_pair
CENPN	ORC6L	correlation_pair
CENPA	ORC6L	correlation_pair
KIF4A	KIF4B	correlation_pair
GTSE1	KIF4A	correlation_pair
DLGAP5	KIF4A	correlation_pair
ERCC6L	KIF4A	correlation_pair
FAM64A	KIF4A	correlation_pair
CDC45	KIF4A	correlation_pair
E2F8	KIF4A	correlation_pair
AURKA	KIF4A	correlation_pair
AURKB	KIF4A	correlation_pair
KIF23	KIF4A	correlation_pair
KIF14	KIF4A	correlation_pair
KIF20A	KIF4A	correlation_pair
BUB1B	KIF4A	correlation_pair
CDC25C	KIF4A	correlation_pair
DEPDC1	KIF4A	correlation_pair
CDK1	KIF4A	correlation_pair
CEP55	KIF4A	correlation_pair
C15orf42	KIF4A	correlation_pair
BIRC5	KIF4A	correlation_pair
ANLN	KIF4A	correlation_pair
GSG2	KIF4A	correlation_pair
ARHGAP11A	KIF4A	correlation_pair
FOXM1	KIF4A	correlation_pair
CDCA3	KIF4A	correlation_pair
CDCA5	KIF4A	correlation_pair
CDCA8	KIF4A	correlation_pair
CDC25A	KIF4A	correlation_pair
KIF18A	KIF4A	correlation_pair
KIF18B	KIF4A	correlation_pair
CLSPN	KIF4A	correlation_pair
CDC20	KIF4A	correlation_pair
BUB1	KIF4A	correlation_pair
CKAP2L	KIF4A	correlation_pair
IQGAP3	KIF4A	correlation_pair
CCNB2	KIF4A	correlation_pair
CCNB1	KIF4A	correlation_pair
ASPM	KIF4A	correlation_pair
CDKN3	KIF4A	correlation_pair
HMMR	KIF4A	correlation_pair
KIF15	KIF4A	correlation_pair
KIF11	KIF4A	correlation_pair
HJURP	KIF4A	correlation_pair
ESPL1	KIF4A	correlation_pair
DEPDC1B	KIF4A	correlation_pair
CCNA2	KIF4A	correlation_pair
EXO1	KIF4A	correlation_pair
FAM83D	KIF4A	correlation_pair
CENPI	KIF4A	correlation_pair
CENPF	KIF4A	correlation_pair
CENPE	KIF4A	correlation_pair
CENPA	KIF4A	correlation_pair
KIF2C	KIF4A	correlation_pair
FN1	NID2	correlation_pair
DACT1	NID2	correlation_pair
ADAM12	NID2	correlation_pair
COL1A2	NID2	correlation_pair
FAP	NID2	correlation_pair
COL5A2	NID2	correlation_pair
COL5A3	NID2	correlation_pair
COL5A1	NID2	correlation_pair
COL1A1	NID2	correlation_pair
COL6A3	NID2	correlation_pair
CDH11	NID2	correlation_pair
COL3A1	NID2	correlation_pair
LUM	NID2	correlation_pair
CDK1	ZWINT	correlation_pair
TROAP	ZWINT	correlation_pair
DLGAP5	KIF14	correlation_pair
FAM72A	KIF14	correlation_pair
BUB1B	KIF14	correlation_pair
DEPDC1	KIF14	correlation_pair
CEP55	KIF14	correlation_pair
ANLN	KIF14	correlation_pair
ARHGAP11A	KIF14	correlation_pair
FOXM1	KIF14	correlation_pair
BUB1	KIF14	correlation_pair
CKAP2L	KIF14	correlation_pair
IQGAP3	KIF14	correlation_pair
ASPM	KIF14	correlation_pair
KIF11	KIF14	correlation_pair
HJURP	KIF14	correlation_pair
ESPL1	KIF14	correlation_pair
DEPDC1B	KIF14	correlation_pair
CCNA2	KIF14	correlation_pair
EXO1	KIF14	correlation_pair
FAM83D	KIF14	correlation_pair
CENPI	KIF14	correlation_pair
CENPF	KIF14	correlation_pair
CENPE	KIF14	correlation_pair
AGR2	AGR3	correlation_pair
C12orf48	TMPO	correlation_pair
ADAM12	COL1A2	correlation_pair
COL10A1	COL1A2	correlation_pair
C1QTNF6	COL1A2	correlation_pair
ANTXR1	COL1A2	correlation_pair
COL1A1	COL1A2	correlation_pair
COL12A1	COL1A2	correlation_pair
AEBP1	COL1A2	correlation_pair
CDH11	COL1A2	correlation_pair
ERBB2	GRB7	correlation_pair
DACT1	HTRA1	correlation_pair
ADAM12	HTRA1	correlation_pair
GLT8D2	HTRA1	correlation_pair
COL1A2	HTRA1	correlation_pair
CTSK	HTRA1	correlation_pair
FAP	HTRA1	correlation_pair
