id1	id2	type
479743	BUB1B	NDC80	PPI
479761	MAD2L1	NDC80	PPI
479767	NDC80	RAD21	PPI
479773	NDC80	WAPL	PPI
479782	NDC80	PLK1	PPI
479799	BIRC5	NDC80	PPI
479807	BUB1	NDC80	PPI
479821	NDC80	PDS5A	PPI
479829	CENPS-CORT	NDC80	PPI
479835	BOD1	NDC80	PPI
479839	NDC80	PPP2R1B	PPI
479847	NDC80	ZWILCH	PPI
479853	NDC80	PDS5B	PPI
479861	AURKB	NDC80	PPI
479868	NDC80	SKA3	PPI
479871	NDC80	NUDC	PPI
479879	DYNC1I1	NDC80	PPI
479885	NDC80	SMC1A	PPI
479893	NDC80	PPP2R1A	PPI
479918	KNTC1	NDC80	PPI
479932	NDC80	SKA2	PPI
479940	NDC80	NDEL1	PPI
479948	ERCC6L	NDC80	PPI
479956	KNL1	NDC80	PPI
479965	CENPA	NDC80	PPI
479973	CENPQ	NDC80	PPI
479981	NDC80	PPP2R5E	PPI
479996	NDC80	PPP1CC	PPI
480004	NDC80	NUP43	PPI
480020	CENPL	NDC80	PPI
480028	DYNC1H1	NDC80	PPI
480048	NDC80	SGO2	PPI
480068	NDC80	SMC3	PPI
480090	AHCTF1	NDC80	PPI
480110	CENPF	NDC80	PPI
480118	NDC80	NSL1	PPI
480138	NDC80	RPS27	PPI
480146	BUB3	NDC80	PPI
480167	ITGB3BP	NDC80	PPI
480191	KIF2C	NDC80	PPI
480199	CDC20	NDC80	PPI
480207	CENPI	NDC80	PPI
480215	CDCA8	NDC80	PPI
480223	NDC80	ZWINT	PPI
480231	NDC80	RCC2	PPI
480239	MAPRE1	NDC80	PPI
480247	CENPP	NDC80	PPI
480262	NDC80	NUP160	PPI
480280	CENPO	NDC80	PPI
480294	NDC80	STAG1	PPI
480302	NDC80	SEC13	PPI
480318	DYNLL1	NDC80	PPI
480326	CENPN	NDC80	PPI
480334	INCENP	NDC80	PPI
480375	NDC80	NDE1	PPI
480383	CENPK	NDC80	PPI
480392	DYNC1I2	NDC80	PPI
480400	NDC80	PAFAH1B1	PPI
480415	CDC42	NDC80	PPI
480430	NDC80	XPO1	PPI
480438	KIF2A	NDC80	PPI
480446	MAD1L1	NDC80	PPI
480467	DSN1	NDC80	PPI
480493	NDC80	RANGAP1	PPI
480509	NDC80	PPP2R5C	PPI
480532	CLASP2	NDC80	PPI
480540	NDC80	PPP2R5D	PPI
480548	NDC80	PPP2CA	PPI
480573	CKAP5	NDC80	PPI
480581	NDC80	NUP37	PPI
480589	CENPT	NDC80	PPI
480597	NDC80	SPC24	PPI
480635	DYNLL2	NDC80	PPI
480657	CLIP1	NDC80	PPI
480695	MIS12	NDC80	PPI
481919	HERC2	UBE2C	PPI
484801	NUF2	TAOK1	PPI
484909	BIRC5	TAOK1	PPI
485145	CENPF	TAOK1	PPI
485194	KIF2C	TAOK1	PPI
485202	CDC20	TAOK1	PPI
486131	BTBD1	UBE2C	PPI
488406	EGFR	PDGFRB	PPI
488663	GRB7	PDGFRB	PPI
489660	ANAPC5	UBE2C	PPI
489809	ANAPC5	CDC20	PPI
489949	ANAPC5	PTTG1	PPI
495254	EXO1	TIPIN	PPI
497024	CCNT1	ESR1	PPI
501037	KIF2C	MTUS1	PPI
502020	CCNE1	RBL2	PPI
504739	MYC	SMAD2	PPI
508495	KIF2C	TMED2	PPI
