CENPW	DLGAP5
CTPS	DLGAP5
CASC5	DLGAP5
CDT1	DLGAP5
C9orf100	DLGAP5
THSD4	TTC8
ART3	TTC8
ABAT	TTC8
GPR77	TTC8
TBC1D9	TTC8
C4orf34	TTC8
FSIP1	TTC8
B3GNT5	TTC8
IL12RB2	TTC8
KLHDC1	TTC8
INPP4B	TTC8
CCNE1	TTC8
MLPH	TTC8
CHODL	TTC8
FOXC1	TTC8
FAM174A	TTC8
CA12	TTC8
AGR2	TTC8
AGR3	TTC8
FAM47E	TTC8
HAPLN3	TTC8
FAM171A1	TTC8
SLC7A8	TTC8
C11orf75	TTC8
MTHFD1L	TTC8
KCNJ11	TTC8
CMBL	TTC8
A2ML1	TTC8
CCDC125	TTC8
LRRC46	TTC8
ESR1	TTC8
CT62	TTC8
C9orf116	TTC8
PRR15	TTC8
ERBB4	TTC8
DNAL1	TTC8
ROPN1	TTC8
C6orf97	TTC8
DEGS2	TTC8
GATA3	TTC8
FBP1	TTC8
DYNLRB2	TTC8
ACADSB	TTC8
FOXA1	TTC8
SFT2D2	TTC8
KIAA1370	TTC8
TFF3	TTC8
FZD9	TTC8
DNAJC12	TTC8
C5orf36	TTC8
APH1B	TTC8
RGMA	TTC8
BCL11A	TTC8
ANKRA2	TTC8
PSAT1	TTC8
LOC145837	TTC8
SLC22A5	TTC8
C14orf174	TTC8
ABCC8	TTC8
GTSE1	OIP5
GPSM2	OIP5
CKS1B	OIP5
MCM10	OIP5
C15orf23	OIP5
DLGAP5	OIP5
C16orf75	OIP5
NDC80	OIP5
ERCC6L	OIP5
KIAA1524	OIP5
ASF1B	OIP5
HELLS	OIP5
C9orf140	OIP5
C1orf135	OIP5
FAM64A	OIP5
CDC45	OIP5
C16orf59	OIP5
CCDC150	OIP5
FAM72D	OIP5
FAM72B	OIP5
FAM72A	OIP5
H2AFZ	OIP5
NCAPG2	OIP5
E2F2	OIP5
E2F1	OIP5
E2F8	OIP5
AURKA	OIP5
AURKB	OIP5
KIF23	OIP5
LMNB1	OIP5
MAD2L1	OIP5
CDC6	OIP5
CDC7	OIP5
DBF4	OIP5
CCNE2	OIP5
CIT	OIP5
KIF4B	OIP5
KIF4A	OIP5
MND1	OIP5
KIF14	OIP5
KIF20A	OIP5
MKI67	OIP5
ESCO2	OIP5
BUB1B	OIP5
CDC25C	OIP5
KPNA2	OIP5
DEPDC1	OIP5
FANCB	OIP5
FANCA	OIP5
FANCI	OIP5
CDK1	OIP5
CEP55	OIP5
C15orf42	OIP5
BIRC5	OIP5
ANLN	OIP5
GSG2	OIP5
KIFC1	OIP5
C12orf48	OIP5
ARHGAP11A	OIP5
ARHGAP11B	OIP5
NEIL3	OIP5
CENPM	OIP5
NCAPH	OIP5
FBXO5	OIP5
FOXM1	OIP5
CHAF1B	OIP5
CDCA2	OIP5
CDCA3	OIP5
CDCA5	OIP5
CDCA8	OIP5
NEK2	OIP5
CHEK1	OIP5
GINS1	OIP5
NUF2	OIP5
CDC25A	OIP5
MYBL2	OIP5
HMGB2	OIP5
KIF18A	OIP5
KIF18B	OIP5
CLSPN	OIP5
MCM7	OIP5
MCM6	OIP5
CDC20	OIP5
BLM	OIP5
BUB1	OIP5
MCM2	OIP5
C11orf82	OIP5
CKAP2L	OIP5
IQGAP3	OIP5
CCNB2	OIP5
CCNB1	OIP5
ASPM	OIP5
CDKN3	OIP5
DIAPH3	OIP5
HMMR	OIP5
DONSON	OIP5
KIF15	OIP5
KIF11	OIP5
CKS2	OIP5
KIAA0101	OIP5
HJURP	OIP5
ATAD2	OIP5
ESPL1	OIP5
MLF1IP	OIP5
FANCD2	OIP5
NCAPD2	OIP5
FEN1	OIP5
DEPDC1B	OIP5
CCNA2	OIP5
NCAPG	OIP5
EXO1	OIP5
EPR1	OIP5
EME1	OIP5
C17orf53	OIP5
FAM54A	OIP5
FAM83D	OIP5
CENPO	OIP5
CENPN	OIP5
CENPK	OIP5
CENPI	OIP5
CENPF	OIP5
CENPE	OIP5
CENPA	OIP5
CENPW	OIP5
DSCC1	OIP5
EZH2	OIP5
CASC5	OIP5
MELK	OIP5
DSN1	OIP5
DNA2	OIP5
ECT2	OIP5
DTL	OIP5
KIF2C	OIP5
FAM111B	OIP5
CDT1	OIP5
NUSAP1	OIP5
C9orf100	OIP5
CHST3	CLCN4
CHST2	CLCN4
ART3	CLCN4
B3GNT5	CLCN4
CHODL	CLCN4
CA12	CLCN4
C17orf51	CLCN4
C9orf170	CLCN4
CCDC82	CLCN4
ADAMTS3	CLCN4
BCL11A	CLCN4
ASF1B	C16orf75
C16orf59	C16orf75
AURKB	C16orf75
BIRC5	C16orf75
CHST3	DMD
CLCN4	DMD
C2orf88	DMD
C10orf90	DMD
B3GNT5	DMD
CNTNAP3	DMD
BOC	DMD
CYP7B1	DMD
BBOX1	DMD
CCDC82	DMD
ADAMTS3	DMD
BCL11A	DMD
CRYAB	DMD
C10orf90	C2orf82
C10orf90	C2orf88
BOC	C2orf88
BCL11A	C2orf88
ART3	TBC1D9
ABAT	TBC1D9
SIDT1	TBC1D9
GPR77	TBC1D9
CLCN4	TBC1D9
C4orf34	TBC1D9
KCNK5	TBC1D9
FSIP1	TBC1D9
C16orf57	TBC1D9
B3GNT5	TBC1D9
RNF103	TBC1D9
LMX1B	TBC1D9
RABEP1	TBC1D9
SLC16A6	TBC1D9
EN1	TBC1D9
E2F3	TBC1D9
SYTL4	TBC1D9
NUDT12	TBC1D9
IL12RB2	TBC1D9
RALGPS2	TBC1D9
BCL2	TBC1D9
MAGED2	TBC1D9
ATP8B1	TBC1D9
KRT16	TBC1D9
NAT1	TBC1D9
INPP4B	TBC1D9
FLJ45983	TBC1D9
CCNE1	TBC1D9
MLPH	TBC1D9
CHODL	TBC1D9
FOXC1	TBC1D9
FAM174A	TBC1D9
C6orf211	TBC1D9
STAC	TBC1D9
EVL	TBC1D9
FAM136A	TBC1D9
CA12	TBC1D9
RUNDC1	TBC1D9
AGR2	TBC1D9
AGR3	TBC1D9
KCNQ4	TBC1D9
FSCN1	TBC1D9
HHAT	TBC1D9
CDK2AP1	TBC1D9
FAM47E	TBC1D9
SFRS13B	TBC1D9
OCA2	TBC1D9
P4HTM	TBC1D9
SKP1	TBC1D9
HAPLN3	TBC1D9
RERG	TBC1D9
AFF3	TBC1D9
FAM171A1	TBC1D9
SLC7A8	TBC1D9
C11orf75	TBC1D9
PPP1R14C	TBC1D9
SLC39A6	TBC1D9
MTHFD1L	TBC1D9
SCUBE2	TBC1D9
HORMAD1	TBC1D9
GFRA1	TBC1D9
SEMA3F	TBC1D9
KCNJ11	TBC1D9
AR	TBC1D9
SUV39H2	TBC1D9
CMBL	TBC1D9
A2ML1	TBC1D9
CCDC125	TBC1D9
HMGA1	TBC1D9
BCAS1	TBC1D9
ESR1	TBC1D9
MAPT	TBC1D9
CT62	TBC1D9
CACNA2D2	TBC1D9
GPR160	TBC1D9
DNALI1	TBC1D9
RGS22	TBC1D9
CELSR1	TBC1D9
PRR15	TBC1D9
IFRD1	TBC1D9
ERBB4	TBC1D9
DNAL1	TBC1D9
CLSTN2	TBC1D9
INPP5J	TBC1D9
SYBU	TBC1D9
PADI2	TBC1D9
NOSTRIN	TBC1D9
GPR81	TBC1D9
ANXA9	TBC1D9
C9orf170	TBC1D9
CDC20	TBC1D9
ROPN1	TBC1D9
PARD6B	TBC1D9
C1orf64	TBC1D9
SLC44A4	TBC1D9
C11orf86	TBC1D9
C6orf97	TBC1D9
POU5F1	TBC1D9
OPRK1	TBC1D9
MYB	TBC1D9
DEGS2	TBC1D9
APBB2	TBC1D9
GATA3	TBC1D9
GABBR2	TBC1D9
FBP1	TBC1D9
DYNLRB2	TBC1D9
RAB17	TBC1D9
ACADSB	TBC1D9
FOXA1	TBC1D9
GFRA3	TBC1D9
DACH1	TBC1D9
LEMD1	TBC1D9
CXXC5	TBC1D9
KIAA1370	TBC1D9
PCBD2	TBC1D9
KCNK15	TBC1D9
KDM4B	TBC1D9
RHOB	TBC1D9
CYP2B7P1	TBC1D9
SPDEF	TBC1D9
